EventID,DecodedID,EventName,DateTime
17GZvOG6C6u5xAJ,L250108,Philadelphia Flyers vs. Toronto Maple Leafs,2025-01-08T00:30:00Z
G5eVZb2rBxb6K,L250110,Carolina Hurricanes vs. Toronto Maple Leafs,2025-01-10T00:30:00Z
Za5ju3rKuqZDdxZJdTlAAaa_BuFh3kK43A,L250110,Carolina Hurricanes vs Toronto Maple Leafs,2025-01-10T00:30:00Z
Za5ju3rKuqZDvhIYS0r9_5wa-C_58MgSv_,L250110,Carolina Hurricanes vs Toronto Maple Leafs,2025-01-10T00:30:00Z
177ZvOG62XcCKLs,L250112,Toronto Maple Leafs vs. Vancouver Canucks,2025-01-12T00:00:00Z
Za5ju3rKuqZDe-ORVXIuya0tTQp3xhyg0V,L250112,Toronto Maple Leafs vs Vancouver Canucks,2025-01-12T00:00:00Z
Za5ju3rKuqZDeSBltrIP-AWBUZxDAzOcUh,L250112,Toronto Maple Leafs vs Vancouver Canucks,2025-01-12T00:00:00Z
Za5ju3rKuqZDv-p46y_n422aKnWwDZPvzp,L250112,Toronto Maple Leafs vs Vancouver Canucks,2025-01-12T00:00:00Z
Za5ju3rKuqZDvhOvSIRl_kun9TDAM59y6Z,L250112,Toronto Maple Leafs vs Vancouver Canucks,2025-01-12T00:00:00Z
Za5ju3rKuqZDvm6uEpnU-ZwhsxfsORI6OI,L250112,Toronto Maple Leafs vs Vancouver Canucks,2025-01-12T00:00:00Z
177ZvOG62Xc2NLV,L250115,Toronto Maple Leafs vs. Dallas Stars,2025-01-15T00:00:00Z
Za5ju3rKuqZDdxYV5o55-FBtOwZZEN1RD7,L250115,Toronto Maple Leafs vs Dallas Stars,2025-01-15T00:00:00Z
Za5ju3rKuqZDe4xxmEf2PGQhy6pb4eSbwk,L250115,Toronto Maple Leafs vs Dallas Stars,2025-01-15T00:00:00Z
Za5ju3rKuqZDefVVr8u3g5FFAy4So9hNOY,L250115,Toronto Maple Leafs vs Dallas Stars,2025-01-15T00:00:00Z
Za5ju3rKuqZDv6ECjt1Ks1uh0uv_7v7-IH,L250115,Toronto Maple Leafs vs Dallas Stars,2025-01-15T00:00:00Z
Za5ju3rKuqZDvZllUnS3oA31HQA11mrN9p,L250115,Toronto Maple Leafs vs Dallas Stars,2025-01-15T00:00:00Z
177ZvOG62XcodLW,L250117,Toronto Maple Leafs vs. New Jersey Devils,2025-01-17T00:00:00Z
Za5ju3rKuqZBMH0Sbmy-CYl5ikiAjo0Lg,L250117,Toronto Maple Leafs vs New Jersey Devils,2025-01-17T00:00:00Z
Za5ju3rKuqZBhGxmfAvPGw1lPdDU1KUan,L250117,Toronto Maple Leafs vs New Jersey Devils,2025-01-17T00:00:00Z
Za5ju3rKuqZDdRAtyBFO4kN14N3O9QB3aT,L250117,Toronto Maple Leafs vs New Jersey Devils,2025-01-17T00:00:00Z
Za5ju3rKuqZDedwMzvUeseYQuqBNXnmDB2,L250117,Toronto Maple Leafs vs New Jersey Devils,2025-01-17T00:00:00Z
Za5ju3rKuqZDvB95mXBNc7Q59-TKu1A7Ts,L250117,Toronto Maple Leafs vs New Jersey Devils,2025-01-17T00:00:00Z
17G8vOG62JZvsyN,L250119,Montreal Canadiens vs. Toronto Maple Leafs,2025-01-19T00:00:00Z
Za5ju3rKuqZDvFUY8aVysuOhjobO6yPXoa,L250119,Toronto Maple Leafs,2025-01-19T00:00:00Z
177ZvOG62Xc3KOe,L250121,Toronto Maple Leafs vs. Tampa Bay Lightning,2025-01-21T00:30:00Z
Za5ju3rKuqZDdJgCKKsz_a8_Iov1kptrd5,L250121,Toronto Maple Leafs vs Tampa Bay Lightning,2025-01-21T00:30:00Z
Za5ju3rKuqZDe29zJuH041T1XyNFxnsxzT,L250121,Toronto Maple Leafs vs Tampa Bay Lightning,2025-01-21T00:30:00Z
Za5ju3rKuqZDvKc0noXXgaRyaxSYrFnQEp,L250121,Toronto Maple Leafs vs Tampa Bay Lightning,2025-01-21T00:30:00Z
Za5ju3rKuqZDvN75Y-rOPASQXsSUuc9s4X,L250121,Toronto Maple Leafs vs Tampa Bay Lightning,2025-01-21T00:30:00Z
Za5ju3rKuqZDvkMGFfEayduBstTPnVARkF,L250121,Toronto Maple Leafs vs Tampa Bay Lightning,2025-01-21T00:30:00Z
177ZvOG62XcKNO6,L250123,Toronto Maple Leafs vs. Columbus Blue Jackets,2025-01-23T00:30:00Z
Za5ju3rKuqZBVEHBwgk4kRDDhMkRyBsYe,L250123,Toronto Maple Leafs vs Columbus Blue Jackets,2025-01-23T00:30:00Z
Za5ju3rKuqZBhNcv7vkPZh_cyPudE4sbi,L250123,Toronto Maple Leafs vs Columbus Blue Jackets,2025-01-23T00:30:00Z
Za5ju3rKuqZDdvPyfROkWvh1U7gRv91iNW,L250123,Toronto Maple Leafs vs Columbus Blue Jackets,2025-01-23T00:30:00Z
Za5ju3rKuqZDevEA-tlgAakQO8l5CCe47F,L250123,Toronto Maple Leafs vs Columbus Blue Jackets,2025-01-23T00:30:00Z
Za5ju3rKuqZDvjfpzuyqWZEDinCK0MdKlu,L250123,Toronto Maple Leafs vs Columbus Blue Jackets,2025-01-23T00:30:00Z
1AsZk76GkdBZP7w,L250126,Ottawa Senators vs. Toronto Maple Leafs,2025-01-26T00:00:00Z
Za5ju3rKuqZDdhpsUKMkAAb5_ZslW7l7Fu,L250126,Ottawa Senators vs Pintys Toronto Maple Leafs,2025-01-26T00:00:00Z
177ZvOG62XcfSO3,L250130,Toronto Maple Leafs vs. Minnesota Wild,2025-01-30T00:00:00Z
Za5ju3rKuqZB_bP-1PO413Fqy6lpEwSo2,L250130,Toronto Maple Leafs vs Minnesota Wild,2025-01-30T00:00:00Z
Za5ju3rKuqZBf77Z4DRgAYzfR3ottT58Y,L250130,Toronto Maple Leafs vs Minnesota Wild,2025-01-30T00:00:00Z
Za5ju3rKuqZBlnTPls3gambAw4w-S8-Sl,L250130,Toronto Maple Leafs vs Minnesota Wild,2025-01-30T00:00:00Z
Za5ju3rKuqZDdiOsHDLNvkwlRD7HsJtE7Q,L250130,Toronto Maple Leafs vs Minnesota Wild,2025-01-30T00:00:00Z
Za5ju3rKuqZDvsiPv8pAo6j1oDCXYOLgmD,L250130,Toronto Maple Leafs vs Minnesota Wild,2025-01-30T00:00:00Z
1k78v-7zGA12K2f,L250202,Edmonton Oilers vs. Toronto Maple Leafs,2025-02-02T00:00:00Z
1Av7Zb8GkM80NW8,L250205,Calgary Flames vs. Toronto Maple Leafs,2025-02-05T02:00:00Z
Za5ju3rKuqZDe2xkmKb9tueaXcf77OZy4N,L250207,Premium: Seattle Kraken vs Toronto Maple Leafs,2025-02-07T03:00:00Z
vvG1HZb4S_becV,L250207,Suites: Seattle Kraken vs Toronto Maple Leafs,2025-02-07T03:00:00Z
vvG1HZbGnNTP_u,L250207,Seattle Kraken vs. Toronto Maple Leafs,2025-02-07T03:00:00Z
1778vOG6CX3so73,L250209,Vancouver Canucks vs. Toronto Maple Leafs,2025-02-09T00:00:00Z
177ZvOG62XcpKON,L250223,Toronto Maple Leafs vs. Carolina Hurricanes,2025-02-23T00:00:00Z
Za5ju3rKuqZBqKAzAQDgFNQ0lNNjGi7PM,L250223,Toronto Maple Leafs vs Carolina Hurricanes,2025-02-23T00:00:00Z
Za5ju3rKuqZDd3U-BrlXv2WhHMGXCDlZEg,L250223,Toronto Maple Leafs vs Carolina Hurricanes,2025-02-23T00:00:00Z
Za5ju3rKuqZDeSwqJfJ_Pu4b9TXYbHrrc1,L250223,Toronto Maple Leafs vs Carolina Hurricanes,2025-02-23T00:00:00Z
